#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.20000000000000015,-115.2442626953125,-105.82570054195821,44.42324122745919
0.4000000000000003,-97.40264892578125,-82.56544103845954,69.98062489673303
0.6000000000000004,-95.47735595703125,-72.65141421929002,107.65999093592912
0.8000000000000006,-99.3619384765625,-61.24541387706995,179.7789874362733
1.0000000000000007,-84.6181640625,-49.81760273873806,164.13903793010417
1.2000000000000008,-81.1424560546875,-24.323078624904156,267.99217002123754
1.400000000000001,-77.8045654296875,-12.350855529308319,308.71654258831364
1.6000000000000012,-63.74798583984375,-14.496103096753359,232.29960501175213
1.8000000000000014,-72.99801635742188,-7.399167090654373,309.40110154536984
2.0000000000000013,-63.37469482421875,8.371395349502563,338.39495020789207
2.1999999999999793,-46.07574462890625,11.535547703504562,271.7272865048625
2.3999999999999573,-44.7666015625,16.077125430107117,286.97326803833477
2.5999999999999353,-48.10638427734375,20.88817697763443,325.41719087356256
2.7999999999999132,-63.1619873046875,9.707660973072052,343.69428272553995
2.999999999999891,-55.8594970703125,6.225634530186653,292.8284310090041
3.199999999999869,-60.434112548828125,11.86283939704299,340.9931244290476
3.399999999999847,-60.7984619140625,13.636212855577469,351.0758286817248
3.599999999999825,-68.8370361328125,6.179947942495346,353.82232717411574
3.799999999999803,-59.00360107421875,-1.935831367969513,269.1637278277072
3.999999999999781,-70.39923095703125,-11.634436130523682,277.16785362300664
4.1999999999997595,-82.314453125,-4.636189125478268,366.3744214452189
4.3999999999997375,-66.86492919921875,-9.98279607668519,268.2881611961162
4.599999999999715,-72.72793579101562,-12.398185804486275,284.5490631379904
4.799999999999693,-61.35296630859375,-7.449108883738518,254.24093640684993
4.999999999999671,-77.38543701171875,-20.688122034072876,267.4164547827723
5.199999999999649,-60.384033203125,-12.11551421880722,227.6615079477816
5.399999999999627,-83.80615234375,-20.32675702869892,299.4045635776229
5.599999999999605,-85.47930908203125,-23.09826159477234,294.2241369146963
5.799999999999583,-82.2452392578125,-22.72994637489319,280.7076249445607
5.999999999999561,-78.5347900390625,-30.437800124287605,226.85248029475375
6.199999999999539,-70.97393798828125,-17.229256242513657,253.49017429746183
6.399999999999517,-66.32672119140625,-14.577351545915008,244.07915918587423
6.599999999999495,-62.010986328125,-12.818759940564632,232.01823205595363
6.799999999999473,-87.66653442382812,-18.003130689263344,328.571828527386
6.999999999999451,-74.508056640625,-6.647531766444445,320.0684369040465
7.199999999999429,-84.21392822265625,-8.792784869670868,355.72856984621944
7.399999999999407,-73.74383544921875,-13.711219027638435,283.14761397647425
7.599999999999385,-76.78182983398438,-11.386132717132568,308.4429216433167
7.799999999999363,-71.738037109375,-21.033322006464005,239.15198028225822
7.999999999999341,-75.8538818359375,-30.56224352121353,213.62086289628297
8.199999999999408,-82.9127197265625,-28.72624211013317,255.57393232933006
8.399999999999475,-76.08148193359375,-27.60847019404173,228.62601089920113
8.599999999999541,-80.2398681640625,-12.810854122042656,318.03318890363806
8.799999999999608,-66.94863891601562,-6.321769766509533,285.9504443716977
8.999999999999675,-77.31246948242188,-4.816132515668869,341.93353642989894
9.199999999999742,-71.82080078125,-14.006466716527939,272.68494561533424
9.399999999999809,-72.98959350585938,-24.224623531103134,230.00305029222582
9.599999999999875,-69.728515625,-8.674198299646378,287.96653059788986
9.799999999999942,-73.16253662109375,-8.928593158721924,302.9634374078736
10.000000000000009,-62.86407470703125,-8.075662605464458,258.4129942159541
10.200000000000076,-65.37188720703125,-13.26478286832571,245.76643738326132
10.400000000000142,-73.638916015625,-10.567012459039688,297.48260305012565
10.60000000000021,-76.08340454101562,-24.65419715642929,242.56909373039042
10.800000000000276,-85.15792846679688,-21.748663656413555,299.0737886381434
11.000000000000343,-86.01522827148438,-22.629711590707302,298.96177909008054
11.20000000000041,-76.86099243164062,-14.28806921839714,295.129130853508
11.400000000000476,-78.3795166015625,-13.414430066943169,306.4119197283591
11.600000000000543,-72.01837158203125,-28.126799039542675,207.01736455740203
11.80000000000061,-78.16763305664062,-30.044352680444717,226.97648091084255
12.000000000000677,-74.242919921875,-19.728436082601547,257.1209943250215
12.200000000000744,-73.969482421875,-18.96918448805809,259.41236708046034
12.40000000000081,-66.05593872070312,-9.3626389503479,267.39751680485733
